Week,Day,Description,Section,Section Type,Activity,Sets,Reps
,,,Body weight circuit,8,Push-Ups,3,15/20/15
,,,,8,Knees-To-Chest,3,20/25/20
,,,,8,Air-Squats,3,20/25/20
,,,,8,Pull-Ups,3,5/8/05
,,,,8,Alt-Knee-To-Elbow,3,20/25/20
,,,,8,Box-Jumps,3,15/20/15
,,,,8,Tricep-Dips,3,15/20/15
,,,,8,Crunches,3,20/25/20
,,,,8,Lunges,3,10/15/10
,,,,8,Elbow-To-Hand-Plank,3,10/12/10
,,,,8,Planks,3,45 sec/60 sec/60 sec
,,,,8,Burpees,3,12/15/12
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
7,1,"Body Weight Circuit - 3 SETS | 5-25 REPS, Cardio - Run 45 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,15/20/15
,,,,8,Knees-To-Chest,3,20/25/20
,,,,8,Air-Squats,3,20/25/20
,,,,8,Pull-Ups,3,5/8/05
,,,,8,Alt-Knee-To-Elbow,3,20/25/20
,,,,8,Box-Jumps,3,15/20/15
,,,,8,Tricep-Dips,3,15/20/15
,,,,8,Crunches,3,20/25/20
,,,,8,Lunges,3,10/15/10
,,,,8,Elbow-To-Hand-Plank,3,10/12/10
,,,,8,Planks,3,45 sec/60 sec/60 sec
,,,,8,Burpees,3,12/15/12
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,PFT Training,5,Push-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,2,"Body Weight Circuit - 3 SETS | 5-25 REPS, Cardio - 45 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,15/20/15
,,,,8,Knees-To-Chest,3,20/25/20
,,,,8,Air-Squats,3,20/25/20
,,,,8,Pull-Ups,3,5/8/05
,,,,8,Alt-Knee-To-Elbow,3,20/25/20
,,,,8,Box-Jumps,3,15/20/15
,,,,8,Tricep-Dips,3,15/20/15
,,,,8,Crunches,3,20/25/20
,,,,8,Lunges,3,10/15/10
,,,,8,Elbow-To-Hand-Plank,3,10/12/10
,,,,8,Planks,3,45 sec/60 sec/60 sec
,,,,8,Burpees,3,12/15/12
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,3,"Cardio Circuit - 45 min - 2 SETS | 16 REPS, PFT Training",Warm Up,1,Warm-up,1,1
,,,Cardio Circuit,8,Plyometric-Jumps,2,18
,,,,8,Push-Ups,2,18
,,,,8,Mountain-Climbers,2,18
,,,,8,Crunches,2,18
,,,,8,Sprint,2,400 Meters
,,,,8,Star-Jumps,2,18
,,,,8,Pull-Ups,2,18
,,,,8,Bicycle-Crunches,2,18
,,,PFT Training,13,Ammo-Can-Sprint,3,60 sec/45 sec/30 sec
,,,,6,Crunches,3,60 sec/45 sec/30 sec
,,,,4,Pull-Ups,3,12/10/08
,,,,5,Push-Ups,3,35/30/25
,,,Cool Down,2,Cool-down,1,1
,4,"Strength Circuit - 3 SETS | 12 REPS, Cardio - 45 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Strength Circuit,8,Goblet-Squat,3,12
,,,,8,Kettlebell-Swing,3,12
,,,,8,Lunges,3,12
,,,,8,Push-Ups,3,12
,,,,8,Push-Press,3,12
,,,,8,Pull-Ups,3,12
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,5,"Body Weight Circuit - 3 SETS | 5-25 REPS, Cardio - 45 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,15/20/15
,,,,8,Knees-To-Chest,3,20/25/20
,,,,8,Air-Squats,3,20/25/20
,,,,8,Pull-Ups,3,5/8/05
,,,,8,Alt-Knee-To-Elbow,3,20/25/20
,,,,8,Box-Jumps,3,15/20/15
,,,,8,Tricep-Dips,3,15/20/15
,,,,8,Crunches,3,20/25/20
,,,,8,Lunges,3,10/15/10
,,,,8,Elbow-To-Hand-Plank,3,10/12/10
,,,,8,Planks,3,45 sec/60 sec/60 sec
,,,,8,Burpees,3,12/15/12
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
8,1,"Body Weight Circuit - 3 SETS | 5-25 REPS, Cardio - Run 45 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,15/20/15
,,,,8,Knees-To-Chest,3,20/25/20
,,,,8,Air-Squats,3,20/25/20
,,,,8,Pull-Ups,3,5/8/05
,,,,8,Alt-Knee-To-Elbow,3,20/25/20
,,,,8,Box-Jumps,3,15/20/15
,,,,8,Tricep-Dips,3,15/20/15
,,,,8,Crunches,3,20/25/20
,,,,8,Lunges,3,10/15/10
,,,,8,Elbow-To-Hand-Plank,3,10/12/10
,,,,8,Planks,3,45 sec/60 sec/60 sec
,,,,8,Burpees,3,12/15/12
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,,5,Push-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,2,"Body Weight Circuit - 3 SETS | 5-25 REPS, Cardio - 45 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,15/20/15
,,,,8,Knees-To-Chest,3,20/25/20
,,,,8,Air-Squats,3,20/25/20
,,,,8,Pull-Ups,3,5/8/05
,,,,8,Alt-Knee-To-Elbow,3,20/25/20
,,,,8,Box-Jumps,3,15/20/15
,,,,8,Tricep-Dips,3,15/20/15
,,,,8,Crunches,3,20/25/20
,,,,8,Lunges,3,10/15/10
,,,,8,Elbow-To-Hand-Plank,3,10/12/10
,,,,8,Planks,3,45 sec/60 sec/60 sec
,,,,8,Burpees,3,12/15/12
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,3,"Cardio Circuit - 45 min - 2 SETS | 18 REPS, PFT Training",Warm Up,1,Warm-up,1,1
,,,Cardio Circuit,8,Plyometric-Jumps,2,18
,,,,8,Push-Ups,2,18
,,,,8,Mountain-Climbers,2,18
,,,,8,Crunches,2,18
,,,,8,Sprint,4,400 Meters
,,,,8,Star-Jumps,2,18
